,user,text,gender,clean_text,length
13,BarackObama,"Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the e… https://t.co/vX0RkWj9EZ",0,Despite time that been lost still make real progress against virus protect people from,140
14,BarackObama,"Change comes when all of us step up and play our part in this democracy. By encouraging our young people, like thes… https://t.co/9zmQTVM1YI",0,Change comes when step play part this democracy encouraging young people like thes,140
15,BarackObama,"Even if you can’t give the moms in your life a hug today, I hope you can give them an extra thank you today. Thank… https://t.co/vsJxawNfbF",0,Even give moms your life today hope give them extra thank today Thank,139
16,BarackObama,There’s no limit to the devotion I’ve seen in teachers like these @ChiPubSchools educators. Their dedication shapes… https://t.co/2vmmINSTBV,0,There limit devotion seen teachers like these educators Their dedication shapes,140
17,BarackObama,I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get… https://t.co/8Ja4pnbgcz,0,always loved joining commencements culmination years hard work sacrifice Even,139
18,BarackObama,The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the… https://t.co/HO23W6drUL,0,folks Chicago food banks communities like yours working overtime feed,139
19,BarackObama,"The pandemic has magnified the financial insecurity of too many American families, the deep and real racial dispari… https://t.co/69d67PL3so",0,pandemic magnified financial insecurity many American families deep real racial dispari,140
20,BarackObama,"In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together ra… https://t.co/2VaX5YcOjj",0,moments crisis look other need leaders with empathy will bring people together,140
21,BarackObama,This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism r… https://t.co/VMSf31sBLt,0,This pandemic painfully brought surface many reasons launched structural racism,140
22,BarackObama,"If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not go… https://t.co/WvZWasIqyX",0,want life approach anything like normal anytime soon need comprehensive testing program,140
23,BarackObama,"While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beg… https://t.co/uHs0qhPrKD",0,While continue wait coherent national plan navigate this pandemic states like Massachusetts,140
24,BarackObama,We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of u… https://t.co/rFDUjfPA10,0,adapt cope with pandemic Climate change will force harsher changes kids,140
25,BarackObama,"Parents, you deserve a break – Michelle’s got storytime handled every Monday. She’s one of the best, I promise. (An… https://t.co/MpmfxfinMW",0,Parents deserve break Michelle storytime handled every Monday best promise,140
26,BarackObama,Proud of the leaders in my hometown of Chicago who are showing us what it means to be there for each other––as neig… https://t.co/nrS0rg86tx,0,Proud leaders hometown Chicago showing what means there each other neig,140
27,BarackObama,"When I think of people I’ve counted on over the years, Sarah Hurwitz comes to mind. She's the talented author of… https://t.co/DzWZrbwRwa",0,When think people counted over years Sarah Hurwitz comes mind talented author,137
28,BarackObama,Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread thro… https://t.co/TfCa789jzs,0,Democracy depends informed citizenry social cohesion Here look misinformation spread thro,140
29,BarackObama,For all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals –… https://t.co/RcUlk1FwLg,0,love this country willing part make sure lives highest ideals,140
30,BarackObama,I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go: https://t.co/maHVGRozkX,0,proud endorse friend President United States,110
31,BarackObama,"Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of th… https://t.co/TpcCIY3UzF",0,Dreamers have contributed much country they risking their lives fighting frontlines,140
32,BarackObama,We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus… https://t.co/VgAEVwVBPi,0,deny that racial socioeconomic factors playing role being hardest virus,140
33,BarackObama,"Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a… https://t.co/yqWFo9qYMH",0,Although celebrations look different this year unwavering faith remains same Easter,139
34,BarackObama,Let’s not use the tragedy of a pandemic to compromise our democracy. Check the facts of vote by mail. https://t.co/aTNxRV4Ws3,0,tragedy pandemic compromise democracy Check facts vote mail,125
35,BarackObama,"Everyone should have the right to vote safely, and we have the power to make that happen. This shouldn't be a parti… https://t.co/b7HmHriD3G",0,Everyone should have right vote safely have power make that happen This shouldn parti,140
36,BarackObama,No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in W… https://t.co/9LcdVOU9uV,0,should forced choose between their right vote their right stay healthy like debacle,140
37,BarackObama,"Some good news: states that started social distancing early and aggressively, like California, have avoided overwhe… https://t.co/lYzRvmo55X",0,Some good news states that started social distancing early aggressively like California have avoided overwhe,140
38,BarackObama,"Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help peo… https://t.co/rHYzDM5k1x",0,Mayors have been working hard help through this pandemic they have just task help,140
39,BarackObama,"Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all… https://t.co/Ks8gXDHjzR",0,Through centuries persecution exile struggle story Passover reminded Jewish people,140
40,BarackObama,Social distancing bends the curve and relieves some pressure on our heroic medical professionals. But in order to s… https://t.co/DVSDGdzaUn,0,Social distancing bends curve relieves some pressure heroic medical professionals order,140
41,BarackObama,"My advisor and friend @cecmunoz has been someone I’ve turned to for years. In her new book, More Than Ready, she sh… https://t.co/HZd6fZRVEy",0,advisor friend been someone turned years book More Than Ready,140
42,BarackObama,"It’s World Health Day, and we owe a profound debt of gratitude to all our medical professionals. They’re still givi… https://t.co/uhfPzagqi7",0,World Health profound debt gratitude medical professionals They still givi,140
43,BarackObama,"Bill Withers was a true American master. His music, rooted in the everyday joys and sorrows of working people, was… https://t.co/r2wuS8ugt7",0,Bill Withers true American master music rooted everyday joys sorrows working people,139
44,BarackObama,"As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pa… https://t.co/4I2dLnp1nW",0,often does provides cogent summary federal policymakers should thinking about,140
45,BarackObama,It's Census Day and we all have a crucial role to play. Filling out the 2020 Census determines what the next decade… https://t.co/e90Xk9eFk1,0,Census have crucial role play Filling Census determines what next decade,140
46,BarackObama,We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more c… https://t.co/dUUGeOI8VK,0,seen terribly consequences those denied warnings pandemic afford more,140
47,BarackObama,"So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of… https://t.co/kgEAjd7yGX",0,many Americans right stepping help their communities Zohaib Begg year from,140
48,BarackObama,We are grateful for what he did for this country. He carried the baton longer and surer than almost anybody. It fal… https://t.co/a2LHsvMF3T,0,grateful what this country carried baton longer surer than almost anybody,140
49,BarackObama,"What a joy it was to watch him pray and preach. I took heart in him saying, “We ain’t going back. We’ve come too fa… https://t.co/wZCEg2dhmz",0,What watch pray preach took heart saying going back come,140
50,BarackObama,"Rev. Joseph Lowery was a giant who let so many of us stand on his shoulders. With boundless generosity, patience, a… https://t.co/LzAKoBofog",0,Joseph Lowery giant many stand shoulders With boundless generosity patience,140
51,BarackObama,"During this crisis, our grocery store clerks, delivery drivers, transit and utility workers—along with so many othe… https://t.co/FgNwvpshoo",0,During this crisis grocery store clerks delivery drivers transit utility workers along with many othe,140
52,BarackObama,And this article provides a great example of the kind of community spirit that we need to get through this—a spirit… https://t.co/177VvHKpiW,0,this article provides great example kind community spirit that need through this spirit,140
53,BarackObama,Here’s a useful overview of the likely scenarios that the world will be facing in the coming months while managing… https://t.co/c2F0mhA9r5,0,Here useful overview likely scenarios that world will facing coming months while managing,139
54,BarackObama,These are the burdens our medical heroes already face in NYC. It's only going to get harder across the country. Ano… https://t.co/trAELIbkTY,0,These burdens medical heroes already face only going harder across country,140
55,BarackObama,Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at ho… https://t.co/Cl7FGTSg32,0,medical professionals heroes putting their lives line keep country going Here look,140
56,BarackObama,Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fig… https://t.co/TIjyEkJOGd,0,Here useful summary current best thinking among public health experts need approach,140
57,BarackObama,"Ten years ago today, I signed the Affordable Care Act into law. It protected preexisting conditions, cut the uninsu… https://t.co/VuhN5ugvtn",0,years today signed Affordable Care into protected preexisting conditions uninsu,140
58,BarackObama,Sometimes it takes the wisdom and resilience of those who have been marginalized for all of us to remember the impo… https://t.co/u5B0tcSfLU,0,Sometimes takes wisdom resilience those have been marginalized remember impo,140
59,BarackObama,"And @cripchick, a disabled activist, understands what it’s like for people with particular vulnerabilities to come… https://t.co/Sk5TBOTnkH",0,disabled activist understands what like people with particular vulnerabilities come,139
60,BarackObama,.@sullydish witnessed the impact of HIV-AIDS on the LGBT community in the early stages of that devastating disease: https://t.co/j0ipIrzoDC,0,witnessed impact AIDS LGBT community early stages that devastating disease,139
61,BarackObama,"Here are a few stories that have less to do with the very real medical or economic aspects of this crisis, and more… https://t.co/Oh038qeLhJ",0,Here stories that have less with very real medical economic aspects this crisis more,140
62,BarackObama,The best part of my job was meeting people like this—ready to make a selfless act in a time of need. Many Americans… https://t.co/d6c56VtEjk,0,best part meeting people like this ready make selfless time need Many Americans,140
63,BarackObama,.@rgay and @SheaSerrano are using their feeds to directly support people in need—and helping shift our ideas about… https://t.co/f5wO07YeTN,0,using their feeds directly support people need helping shift ideas about,139
64,BarackObama,"In my old neighborhood, the @BSAllianceChi established a crisis pantry to provide food and essential items for part… https://t.co/3S0XsrpkBb",0,neighborhood established crisis pantry provide food essential items part,140
65,BarackObama,.@ObamaFoundation Fellow @alexsmith1982 is helping seniors fight loneliness in the UK through a mix of new and old… https://t.co/XN42EoXeQv,0,Fellow helping seniors fight loneliness through,139
66,BarackObama,Some great stories of big-hearted people coming up with new ways to come together—even while remaining apart—to hel… https://t.co/6zeZriuo6P,0,Some great stories hearted people coming with ways come together even while remaining apart,140
67,BarackObama,"In the meantime, remember to check up by phone on elderly or vulnerable friends and neighbors who may need our help.",0,meantime remember check phone elderly vulnerable friends neighbors need help,116
68,BarackObama,As communities have begun to recognize the importance of social distancing measures to “flatten the curve” on COVID… https://t.co/wWe8N5YpwP,0,communities have begun recognize importance social distancing measures flatten curve COVID,140
69,BarackObama,We owe a profound debt of gratitude to all our health professionals and everybody who’ll be on the front lines of t… https://t.co/pLJkvANSdr,0,profound debt gratitude health professionals everybody front lines,140
70,BarackObama,"Not everybody can stay home, and we owe a big debt of gratitude to health professionals, transit and airport worker… https://t.co/SK1Rk7kkIu",0,everybody stay home debt gratitude health professionals transit airport worker,140
71,BarackObama,Watch this. It shows why we should all do the right thing and stay home to the fullest extent possible. All of us c… https://t.co/GOODRTNI2e,0,Watch this shows should right thing stay home fullest extent possible,140
72,BarackObama,"A shout out to Kevin, Giannis, Zion, Blake, Steph and all the players, owners and organizations who are setting a g… https://t.co/csibmqnjrH",0,shout Kevin Giannis Zion Blake Steph players owners organizations setting,140
73,BarackObama,If you’re wondering whether it’s an overreaction to cancel large gatherings and public events (and I love basketbal… https://t.co/pdcJudIFXu,0,wondering whether overreaction cancel large gatherings public events love basketbal,140
74,BarackObama,"In the midst of campaign season, it’s important to look squarely at what’s at stake. This article speaks to one of… https://t.co/Ij2hK9CKB1",0,midst campaign season important look squarely what stake This article speaks,139
75,BarackObama,"55 years ago, when a group of civil rights organizers crossed the Edmund Pettus Bridge, they carried America with t… https://t.co/tdaHo1FJIR",0,years when group civil rights organizers crossed Edmund Pettus Bridge they carried America with,140
76,BarackObama,"Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when… https://t.co/3J4CZwGJup",0,Protect yourself your community from coronavirus with common sense precautions wash your hands stay home when,140
77,BarackObama,"Michelle and I are sending our prayers to those affected by the severe storms in Tennessee, especially to those who… https://t.co/48jXyUeupn",0,Michelle sending prayers those affected severe storms Tennessee especially those,140
78,BarackObama,America needs you as states prepare for the next round of redistricting. It's up to all of us to make sure we have… https://t.co/HghrAbSMGn,0,America needs states prepare next round redistricting make sure have,139
79,BarackObama,"Shirley Chisholm said ""You don't make progress by standing on the sidelines, whimpering and complaining. You make p… https://t.co/AQqsZ3bmsw",0,Shirley Chisholm said make progress standing sidelines whimpering complaining make,140
80,BarackObama,"After a lifetime of reaching for the stars, today, Katherine Johnson landed among them. She spent decades as a hidd… https://t.co/Z2SzFvXmW7",0,After lifetime reaching stars today Katherine Johnson landed among them spent decades hidd,140
81,BarackObama,Happy birthday to one of my heroes — someone who believed our right to vote was more important than his own life. T… https://t.co/hK0tnVcacQ,0,Happy birthday heroes someone believed right vote more important than life,140
82,BarackObama,https://t.co/AQJsfBf0ri,0,,23
83,BarackObama,"Here are a couple of articles that are worth reading — from housing to health, these stories use data to explore ch… https://t.co/KlSkp31mmi",0,Here couple articles that worth reading from housing health these stories data explore,140
84,BarackObama,"Eleven years ago today, near the bottom of the worst recession in generations, I signed the Recovery Act, paving th… https://t.co/6IyeQfvElc",0,Eleven years today near bottom worst recession generations signed Recovery paving,140
85,BarackObama,"Happy Valentine’s Day to my forever dance partner, @MichelleObama. https://t.co/lHvTGUwEHr",0,Happy Valentine forever dance partner,90
86,BarackObama,"What a great example of citizenship, what each of us can do to make a difference for all of us: https://t.co/YxsvONUuVl",0,What great example citizenship what each make difference,119
87,BarackObama,"Even if the methods are new, sowing the seeds of doubt, division, and discord to turn Americans against each other… https://t.co/He8uASDGEF",0,Even methods sowing seeds doubt division discord turn Americans against each other,139
88,BarackObama,"Thirty years on, I remember the hope we all felt watching Mandela’s release from prison. The gift of a new way of s… https://t.co/ZtWqtwqYmE",0,Thirty years remember hope felt watching Mandela release from prison gift,140
89,BarackObama,"Congrats to Julia and Steven, the filmmakers behind American Factory, for telling such a complex, moving story abou… https://t.co/gvQzSMCVPE",0,Congrats Julia Steven filmmakers behind American Factory telling such complex moving story abou,140
90,BarackObama,"Sixty years ago today, the Greensboro Four stood up to injustice by sitting down at a lunch counter. Our journey is… https://t.co/fLcldO9VnD",0,Sixty years today Greensboro Four stood injustice sitting down lunch counter journey,140
91,BarackObama,Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To… https://t.co/YlRRr9ng7Q,0,Kobe legend court just getting started what would have been just meaningful second,140
92,BarackObama,"Every so often, I re-read Dr. King’s Letter from a Birmingham Jail. While some of the injustices may have changed,… https://t.co/9TxGaZKcaC",0,Every often read King Letter from Birmingham Jail While some injustices have changed,139
93,BarackObama,"In every scene, you are my star, @MichelleObama! Happy birthday, baby! https://t.co/hgMBhHasBj",0,every scene star Happy birthday baby,94
94,BarackObama,Glad to see American Factory’s Oscar nod for Best Documentary. It’s the kind of story we don’t see often enough and… https://t.co/FSdnLUbNBA,0,Glad American Factory Oscar Best Documentary kind story often enough,140
95,BarackObama,Our fellow Americans in Puerto Rico can use our support after this week’s earthquakes. They’ve shown their enduring… https://t.co/qxjRcyT8cR,0,fellow Americans Puerto Rico support after this week earthquakes They shown their enduring,140
96,BarackObama,"Here’s the thing: Even with problems of this magnitude, each of us can still find a way to make change. That’s why… https://t.co/K3YYej7d0s",0,Here thing Even with problems this magnitude each still find make change That,139
97,BarackObama,The catastrophic fires in Australia are the latest example of the very real and very urgent consequences of climate… https://t.co/anmhvMTvGz,0,catastrophic fires Australia latest example very real very urgent consequences climate,140
98,BarackObama,"With David Stern’s passing, I’m reflecting on everything he did to take the NBA global, creating entire new generat… https://t.co/lUABFGYPQL",0,With David Stern passing reflecting everything take global creating entire generat,140
99,BarackObama,"Here’s to a happy, healthy, and hopeful 2020. Happy New Year, everybody!",0,Here happy healthy hopeful Happy Year everybody,72
100,BarackObama,"From hip-hop to country to The Boss, here are my songs of the year. If you’re looking for something to keep you com… https://t.co/MGNAUPPgTj",0,From country Boss here songs year looking something keep,140
101,BarackObama,"If there’s one thing I love about @RepJohnLewis, it’s his incomparable will to fight. I know he’s got a lot more of… https://t.co/5prseTALoX",0,there thing love about incomparable will fight know more,140
102,BarackObama,"Next up are my favorite movies and TV shows of 2019. Of course, there’s also American Factory, a film from our own… https://t.co/qJ7QkWzkjE",0,Next favorite movies shows course there also American Factory film from,139
103,BarackObama,"As we wind down 2019, I wanted to share with you my annual list of favorites that made the last year a little brigh… https://t.co/hHUU0DWR46",0,wind down wanted share with annual list favorites that made last year little brigh,140
104,BarackObama,"From the Obama family to yours, Merry Christmas! https://t.co/dNfx52AjMN",0,From Obama family yours Merry Christmas,72
105,BarackObama,"On behalf of my family, Chag Sameach and Happy Hanukkah! As Jews around the world celebrate, let the menorah’s ligh… https://t.co/JG1nJIY9Uq",0,behalf family Chag Sameach Happy Hanukkah Jews around world celebrate menorah ligh,140
106,BarackObama,"2019 was full of moments that show humanity at its best—compassionate, entrepreneurial, determined. And yes, hopefu… https://t.co/XU93yaGnKS",0,full moments that show humanity best compassionate entrepreneurial determined hopefu,140
107,BarackObama,"You can get the zen garden next week, but tomorrow is the last day to sign up for health coverage at… https://t.co/7aDwT0Kr6N",0,garden next week tomorrow last sign health coverage,125
108,BarackObama,"It was remarkable to be back in the Asia-Pacific region with my sister this week, joined by hundreds of talented an… https://t.co/XWCz7q32yf",0,remarkable back Asia Pacific region with sister this week joined hundreds talented,140
109,BarackObama,My sister Maya and I are about to take the stage at @ObamaFoundation Leaders: Asia-Pacific. We'll be talking about… https://t.co/iNIbFzF8Tr,0,sister Maya about take stage Leaders Asia Pacific talking about,139
110,BarackObama,"I thought it was about time I share my holiday gift list — a few practical items, all $10 or less. The best one? He… https://t.co/9div5vrK95",0,thought about time share holiday gift list practical items less best,140
111,BarackObama,In Vietnam I had the chance to sit down with some of our @ObamaFoundation leaders and alumni from across the Asia P… https://t.co/tV1ffldUIy,0,Vietnam chance down with some leaders alumni from across Asia,140
112,BarackObama,"Because of Paul Volcker, our financial system is stronger and safer for the American people. I’ll remember Paul for… https://t.co/FLH7iNb1o1",0,Because Paul Volcker financial system stronger safer American people remember Paul,140
113,BarackObama,"Today, we give thanks for our blessings, give back to those around us, and enjoy some time — and turkey, and maybe… https://t.co/Y1wrA5SHHH",0,Today give thanks blessings give back those around enjoy some time turkey maybe,139
114,BarackObama,"Before arguing with friends or family around the Thanksgiving table, take a look at the science behind arguing bett… https://t.co/hYMSHMmxNq",0,Before arguing with friends family around Thanksgiving table take look science behind arguing bett,140
115,BarackObama,"Politicians shouldn’t be picking their voters. Voters should be picking their representatives. But unless we act, t… https://t.co/Td81P2kRUb",0,Politicians shouldn picking their voters Voters should picking their representatives unless,140
116,BarackObama,"Take a look at this piece to understand the very real consequences of gerrymandering. In Asheville, NC, we see what… https://t.co/zt6gHRDNCS",0,Take look this piece understand very real consequences gerrymandering Asheville what,140
117,BarackObama,Young leaders like these are powering the promise of the Asia Pacific region. Michelle and I couldn’t be more impre… https://t.co/RHQjTYreVr,0,Young leaders like these powering promise Asia Pacific region Michelle couldn more impre,140
118,BarackObama,Proud to see Oluwaseun @AyodejiOsowobi in this list. She’s an @ObamaFoundation Leader who’s organizing young people… https://t.co/y8oGn0exHw,0,Proud Oluwaseun this list Leader organizing young people,140
119,BarackObama,"Stories like this are a reminder of our duty, as a country and as Americans, to support every veteran—not only in w… https://t.co/clVuvQQEyd",0,Stories like this reminder duty country Americans support every veteran only,140
120,BarackObama,"This Veterans Day, here’s a moving portrait of the extraordinary resilience of my friend Cory Remsburg, an Army Ran… https://t.co/bwYxW8LZyd",0,This Veterans here moving portrait extraordinary resilience friend Cory Remsburg Army,140
121,BarackObama,"No one says it better than @MichelleObama — the Obama Presidential Center coming to the South Side isn't for us, it… https://t.co/kNLNbOVpHr",0,says better than Obama Presidential Center coming South Side,140
122,BarackObama,"Proud of all the Americans who showed up to vote yesterday, electing a set of hopeful, forward-thinking leaders pri… https://t.co/9EA708TmyI",0,Proud Americans showed vote yesterday electing hopeful forward thinking leaders,140
123,BarackObama,Proud to endorse an outstanding group of Virginia Democrats in Tuesday’s election—candidates who’ll not only advanc… https://t.co/s7lkCMYXu7,0,Proud endorse outstanding group Virginia Democrats Tuesday election candidates only advanc,140
124,BarackObama,"Today’s the first day of open enrollment on https://t.co/ob1Ynoesod, and high-quality coverage might be more afford… https://t.co/lWds9MEdZv",0,Today first open enrollment,140
125,BarackObama,Congrats to the World Champion @Nationals and their fans! A great group that always showed up when it counted and w… https://t.co/bx1Cg6Jvcz,0,Congrats World Champion their fans great group that always showed when counted,140
126,BarackObama,Glad to be back in Chicago for the @ObamaFoundation Summit. It’s where I first learned to organize—and where I met… https://t.co/umAF2H7vjZ,0,Glad back Chicago Summit where first learned organize where,139
127,BarackObama,".@SamanthaJPower is a Pulitzer winner, an incredible writer, and a great friend. Her memoir, The Education of an Id… https://t.co/rsVrBUOSIJ",0,Pulitzer winner incredible writer great friend memoir Education,140
128,BarackObama,"Michelle and I are heartbroken over the passing of our friend, Elijah Cummings. May his example inspire more Americ… https://t.co/Km5EWFuGaw",0,Michelle heartbroken over passing friend Elijah Cummings example inspire more Americ,140
129,BarackObama,"I was proud to work with Justin Trudeau as President. He's a hard-working, effective leader who takes on big issues… https://t.co/nZdSmWcpgP",0,proud work with Justin Trudeau President hard working effective leader takes issues,140
130,BarackObama,"In December, Michelle and I will head to Malaysia for the first @ObamaFoundation Leaders: Asia-Pacific gathering. T… https://t.co/sDWtdRPHCQ",0,December Michelle will head Malaysia first Leaders Asia Pacific gathering,140
131,BarackObama,"Yesterday, marathoner Eliud Kipchoge became the first ever to break two hours. Today in Chicago, Brigid Kosgei set… https://t.co/xbTHZbEo1K",0,Yesterday marathoner Eliud Kipchoge became first ever break hours Today Chicago Brigid Kosgei,139
132,BarackObama,"Congrats to the @WashMystics on a gutsy, first-ever championship! A great team performance when it counted. If folk… https://t.co/6M93KCXeVW",0,Congrats gutsy first ever championship great team performance when counted folk,140
133,BarackObama,Here’s an interesting read—a reminder that behind every opinion lies a human being with real experiences and a stor… https://t.co/r7MX8F6tsX,0,Here interesting read reminder that behind every opinion lies human being with real experiences stor,140
134,BarackObama,"As President, I leaned on @AmbassadorRice’s experience, expertise, and willingness to tell me what I needed to hear… https://t.co/oWx2obfDF5",0,President leaned experience expertise willingness tell what needed hear,140
135,BarackObama,"Like the Beatles said: It’s getting better all the time. Thanks, babe, for 27 amazing years! https://t.co/mImRqIYn1R",0,Like Beatles said getting better time Thanks babe amazing years,116
136,BarackObama,"On National Voter Registration Day, it’s up to us as citizens to make sure everyone we know can make their voices h… https://t.co/rYRdykNARc",0,National Voter Registration citizens make sure everyone know make their voices,140
137,BarackObama,One challenge will define the future for today’s young generation more dramatically than any other: Climate change.… https://t.co/MYeQbArWwu,0,challenge will define future today young generation more dramatically than other Climate change,140
138,BarackObama,"Just 16, @GretaThunberg is already one of our planet’s greatest advocates. Recognizing that her generation will bea… https://t.co/mrXtVgE3aN",0,Just already planet greatest advocates Recognizing that generation will,140
0,justinbieber,Thank you @angela_rye for the conversation,0,Thank conversation,42
1,justinbieber,Live https://t.co/WUjCacT9ae,0,Live,28
2,justinbieber,In these streets https://t.co/Z1TtKLg2Q3,0,these streets,40
3,justinbieber,Make your own #StuckwithU merch https://t.co/FuTHy6WJwb https://t.co/WOc3B5Gizy,0,Make your #StuckwithU merch,79
4,justinbieber,Thank you India https://t.co/ziYTX5Edc3,0,Thank India,39
5,justinbieber,Honored to support this cause https://t.co/CwCqqilCHs,0,Honored support this cause,53
6,justinbieber,I remember performing at Capital's Summertime Ball in 2012. Tune in to #BestOfCapitalSTB Saturday https://t.co/OtiITPi3j1,0,remember performing Capital Summertime Ball Tune #BestOfCapitalSTB Saturday,121
7,justinbieber,The newest @liquidiv limited edition flavor is inspired by #Yummy https://t.co/eWSe9LwJJz https://t.co/EUWisOIQgG,0,newest limited edition flavor inspired #Yummy,113
8,justinbieber,Next 5 hours only and only a certain amount as we can’t do too many lol. If we run out we run out. But we hear you… https://t.co/g3gHymJWOc,0,Next hours only only certain amount many hear,139
9,justinbieber,Heads up . https://t.co/YS5pmiW4FI https://t.co/V9Xx3ObBO9,0,Heads,58
10,justinbieber,#STUCKWITHU https://t.co/UAUqHJhb4M,0,#STUCKWITHU,35
11,justinbieber,Who got them? Limited supply so not likely to last the whole 24 hours. All for a great cause so thank you. https://t.co/ARi4zJNtnt,0,them Limited supply likely last whole hours great cause thank,130
12,justinbieber,@chanreJB @drewhouse,0,,20
13,justinbieber,@bieberscIarke Yep,0,,18
14,justinbieber,@agsrem :),0,,10
15,justinbieber,@gdb1227 No idea,0,idea,16
16,justinbieber,@everglowari All good,0,good,21
17,justinbieber,@biebersdepths :),0,,17
18,justinbieber,@bemybrandon You’re welcome,0,welcome,27
19,justinbieber,@chnnges Hi,0,,11
20,justinbieber,@ItsreaIly Followed,0,Followed,19
21,justinbieber,@Angelspeakss Don’t be sad,0,,26
22,justinbieber,@ltskii Yep. That happened,0,That happened,26
23,justinbieber,@biebersdepths Love u. Bye,0,Love,26
24,justinbieber,@deinertsenorita @bieberfever Me too,0,,36
25,justinbieber,@_lwtgolden_ Ok,0,,15
26,justinbieber,@sweetenerline You are good to go,0,good,33
27,justinbieber,@ghostinflatline @gwsjustin Still here,0,Still here,38
28,justinbieber,@grandesheal @Jdrewbieberhelp @tattoosmilee Done,0,Done,48
29,justinbieber,@justbiizle Hi,0,,14
30,justinbieber,@driplikebizzle Limited time and limited cds. It ends tonight but at the rate it’s going I don’t know how much long… https://t.co/xD6uADX1Q4,0,Limited time limited ends tonight rate going know much long,140
31,justinbieber,@bizzlegoddesss @scooterbraun @Lymenews Thank you,0,Thank,49
32,justinbieber,@aesttbizzle What!?,0,What,19
33,justinbieber,@camzixo @belieber_2015 All good,0,good,32
34,justinbieber,@opa_desastre @heloflima Look at these beasts,0,Look these beasts,45
35,justinbieber,@serayrauhl We will be back,0,will back,27
36,justinbieber,@justyumdrew All for a good cause too,0,good cause,37
37,justinbieber,@justyumdrew It ain’t that bad. Happy to do it. Just did the yummy ones.,0,that Happy Just yummy ones,72
38,justinbieber,@ghostingbieber Love u too,0,Love,26
39,justinbieber,@DaarkParadise21 @Jdrewbieberhelp @glitterccabello Ok,0,,53
40,justinbieber,@Habitaul Amazing,0,Amazing,17
